scenario_id,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,portfolio_loss
1,-0.0011559750509596823,-0.0006738909020212146,-0.0007734979796547598,0.003410096575680031,-0.008388287370283392,0.0021910585493352453,0.009831255914787375,-0.0008378902019853221,-0.00045035869186228506
2,0.005269922294503208,3.4886447645417294e-05,-0.005455195073365988,-0.006025922212884862,-0.009230958299255937,-3.172370541389201e-05,-0.00061541881569475,-0.0008686691582321256,0.002115384815337366
3,0.0004255213292617462,-0.0012086674745290498,-0.004448039894989169,0.009326554522424063,0.005731929511847956,0.0006228102585393476,-0.001655594052415596,0.0027381057966782262,-0.0014415774996021907
4,-0.012791911928644704,-0.001459559891488257,0.0020459049086602593,0.008943686190199668,-0.015330348308384192,-0.0017597294653695567,-0.006375900759161792,-0.0005994932937191267,0.003415919068488462
5,-0.002977683861488507,0.008679968286683727,0.007880366054772603,0.0027979019504471496,-0.0011320931547534017,-0.012683352098076462,0.004178966741823204,0.0007693130621446989,-0.0009391733726941266
6,0.0012887914854900237,-0.004389981540050436,-0.0008187886426573926,0.005190605765534731,-0.0048279047584224325,0.0022818157204848224,0.003070665202499452,0.007221132125185811,-0.0011270419197580723
7,0.0019121360807265934,0.0030431290258731035,-6.591519011958993e-05,0.0057592352133155715,-0.002676476742455052,5.596433494138185e-05,0.005425189133326848,-0.006228571361697509,-0.0009030863117389183
8,0.004965848393528137,-0.016054942021631338,-0.004658066958199039,-0.00239007983591359,0.004005047907156617,0.00025601338220993496,-0.0007947844526121814,0.0067292553286906025,0.0009927135320963573
9,-0.002049336840423413,-0.006338953946723652,-0.00919706438782974,0.0014562614095033248,0.01051340907259386,0.0025363374762399243,0.0026347751567251288,-0.008248216113332648,0.001086598521655902
10,0.006554131476467555,0.00862018767715557,-0.0064650512624920215,-0.006058007574656959,-0.006163227839020886,-0.00841195372129632,-0.00015034775573923866,0.00533422710841125,0.0008425052363963809
11,-0.0014021315998218147,0.00825658649045947,0.005165424744872111,-0.0031318569439341944,-0.002703939937941301,0.0014509835393700442,0.00923497800326452,-0.001485409664926449,-0.0019230793289177982
12,0.0074753439427189955,0.008473091405331298,-0.01101196485403783,0.01252208187648307,-0.0028615300690089133,0.001881997250196494,0.007861105501163127,0.005348093557641359,-0.00371102732631095
13,0.007746900453591853,-0.000415555704439946,-0.012789199617029463,0.002075790048059428,0.0016212577747738485,-0.003117483499367705,0.0011980795792782193,0.00881788751342889,-0.0006422095685368906
14,-0.0016456109936909254,-0.006926176588894056,0.005218461925375728,-0.0036770918515176667,-0.0004747170987684493,0.004731914078735274,0.003306073999040586,-0.0016514692390287831,0.00013982697109353654
