scenario_id,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,portfolio_loss,regime,jump_flag
1,-0.015748090297994878,0.02630896692881569,0.011509848868452587,0.01396424950882099,-0.018197692438930064,-0.0415524496513216,-0.009618342894452282,-0.05563714620742168,0.011121332023003905,stress,0
2,0.0191774055586652,-0.0009504520788758926,-0.009506053966380813,-0.03061831509513904,0.006227419293547894,0.03543612428790511,0.007753517041116844,-0.007637573395470107,-0.002485258955671149,normal,0
3,0.008585750068016124,0.022870021626112156,0.0023201845721545354,0.003834458228431763,0.014959618063207506,-0.021922763642754393,0.012404893798798545,-0.02420687958734876,-0.0023556603908271843,normal,0
4,-0.006044736273439249,0.011095108891730833,-0.009148883528113872,0.008015906910411614,-0.004615273861937122,-0.01686220887579439,0.013129225726836157,0.0007235546255113271,0.0004634132980993377,normal,0
5,0.017034157457709205,-0.01431864944532953,0.009514517968756674,-0.011368211365483714,0.007199433200169484,-0.000624356355793808,0.005587417023294256,0.021725653664857177,-0.004343745268522469,normal,0
6,-0.014718625433145664,0.011218988512330674,-0.005041146442704826,-0.026455194018514937,-0.011063823979201817,0.0004609118475394848,0.0028904691188080473,0.004810879813066816,0.004737192572727777,normal,0
7,0.03987240542780959,0.04888272958753981,0.03299197769680851,0.0009629018310526153,0.012456414491382337,0.016962891281397604,0.0022051835485412574,0.01963684596533725,-0.021746418728733626,stress,0
8,-0.014369535849648762,-0.004207229521825022,-0.0011106643428574728,0.03177241193855477,0.02183929326181515,-0.013413989412110272,0.005615258106369582,-0.04819609504236,0.002758818857757753,stress,0
9,-0.0039349388265749324,-0.005663660556725989,-0.00954998263723051,0.014523221834252744,-0.01565455436923754,-0.009849660722006878,-0.011000787311713577,0.012215828851065369,0.0036143167172714144,normal,0
10,-0.004531401729353055,-0.006864852203927985,0.012165828037404878,0.024867813021812162,-0.00469257703449515,0.006069027119108588,0.0014159492257519463,0.01298507614700617,-0.005176857822913444,normal,0
11,-0.0026313772761494755,0.01876211226360025,0.01550635131774732,0.0020613167329912455,0.003730649644332363,0.006729312185679917,-0.040806483257363184,0.012398348345083625,-0.0019687787444902577,normal,0
12,-0.03558665668840253,-0.013780941374820098,0.004446920796951082,-0.01938491977075329,-0.014360030330851302,0.008971016558203723,-0.00230579179793158,-0.0020945129742807513,0.009261864447735593,normal,0
13,0.025199125727403522,0.019665674986656133,-0.024572849374216273,0.00794147706287004,0.0018044059181639032,-0.003727857341030686,-0.0002267548738328351,0.002788700442547918,-0.003608990318570215,normal,0
