i,j,sigma
1,1,0.00022404079002038315
1,2,-6.046648720083007e-05
1,3,-5.120872719865503e-05
1,4,5.8020175672135005e-05
1,5,-2.3925570801367376e-05
1,6,6.8714801277091375e-06
1,7,8.628368849877918e-05
1,8,-1.8410988391336236e-05
1,9,-3.49164405294204e-05
1,10,9.161411018346755e-05
1,11,-0.00010349492284326163
1,12,7.06727013643789e-05
1,13,1.012328793381436e-05
1,14,1.5470432507984223e-05
1,15,-5.072651659442261e-05
1,16,8.806457200959528e-05
1,17,9.15764536689917e-06
1,18,0.00017648546494696048
1,19,5.935023926145318e-05
1,20,1.5147763941155197e-05
2,1,-6.046648720083007e-05
2,2,0.0002107632210979103
2,3,-2.0454726868538518e-05
2,4,-3.2521497957006534e-06
2,5,1.41902094900571e-05
2,6,8.511959986534739e-05
2,7,-9.780560890344889e-05
2,8,4.40129185820073e-05
2,9,0.000124328875748157
2,10,-6.718774646158096e-05
2,11,0.00010205873981369936
2,12,-3.468236473890799e-05
2,13,4.556030833275393e-05
2,14,-3.38051173371974e-05
2,15,4.458629282985961e-05
2,16,-0.00014215925172867352
2,17,3.310036103257677e-05
2,18,-3.852981807816655e-05
2,19,-8.992965492021436e-05
2,20,-3.283155498907145e-06
3,1,-5.120872719865503e-05
3,2,-2.0454726868538518e-05
3,3,0.00020077193080512336
3,4,-1.4637414153696808e-05
3,5,2.57713472384682e-05
3,6,-6.378300447084287e-05
3,7,4.488749685505193e-05
3,8,-4.0684850184498146e-05
3,9,2.1278999848570622e-05
3,10,2.5610602931611922e-05
3,11,-2.5264312474946727e-07
3,12,-3.4264709988975654e-05
3,13,-2.4984808789789075e-05
3,14,2.385931897791787e-05
3,15,4.687800840678338e-05
3,16,5.2870049260985685e-05
3,17,-3.157255440325101e-05
3,18,-2.31862185220977e-05
3,19,-1.0605769140167167e-05
3,20,1.284050625677844e-05
4,1,5.8020175672135005e-05
4,2,-3.2521497957006534e-06
4,3,-1.4637414153696808e-05
4,4,0.000256178490135809
4,5,4.4726779851882525e-05
4,6,-1.1443000222679255e-06
4,7,4.386415172365157e-05
4,8,-5.0603487064435506e-05
4,9,0.00010640930185193036
4,10,5.175693126382615e-06
4,11,-3.3992689716564964e-05
4,12,4.143157457095961e-05
4,13,6.712896714555734e-05
4,14,2.7328512276996708e-05
4,15,-5.097504699397703e-05
4,16,-4.378846877503831e-05
4,17,-2.90260783984865e-05
4,18,0.00014754191961074975
4,19,9.404667037152451e-05
4,20,1.0053545760330425e-05
5,1,-2.3925570801367376e-05
5,2,1.41902094900571e-05
5,3,2.57713472384682e-05
5,4,4.4726779851882525e-05
5,5,0.00015926769776438947
5,6,-7.428428312726714e-06
5,7,-3.8578295461129594e-06
5,8,-6.912967822693362e-06
5,9,7.630180394910268e-05
