i,j,sigma
1,1,0.00030193235488725574
1,2,8.474187246194787e-05
1,3,-8.211108320129472e-05
1,4,5.1485807134115836e-05
1,5,-7.436312552374166e-05
1,6,0.0001943452443195514
1,7,4.729536499641197e-05
1,8,-1.2268963651751229e-05
1,9,1.7976576170929115e-05
1,10,6.023200449905959e-05
1,11,0.00019122127356757635
1,12,-8.738224533861598e-05
1,13,-3.723687895681877e-05
1,14,8.328718965750371e-05
1,15,-0.00012716414080878995
1,16,-8.480292070853759e-05
1,17,-5.490671083067155e-05
1,18,1.6931686462770505e-05
1,19,-7.302630823623725e-05
1,20,-6.193845771242142e-05
2,1,8.474187246194787e-05
2,2,0.0004
2,3,5.394125208292591e-05
2,4,-0.00014981686631620398
2,5,-4.390667213524302e-05
2,6,9.734646415835072e-05
2,7,-0.0001272355255559236
2,8,-5.904920754372042e-05
2,9,-0.00011084046229042308
2,10,-7.231482540992591e-05
2,11,0.00012289211427035998
2,12,-0.00011021674102874401
2,13,-0.00020452077776420474
2,14,0.00012735498615767607
2,15,-4.0834726964128295e-05
2,16,-0.00012248643673822744
2,17,-9.981636413204957e-05
2,18,9.61668879294938e-05
2,19,5.660984421617114e-06
2,20,-4.361262113203714e-06
3,1,-8.211108320129472e-05
3,2,5.394125208292591e-05
3,3,0.00029386830516299543
3,4,-9.270114589140171e-05
3,5,0.00012207163156588975
3,6,3.355557850984603e-05
3,7,-9.021888827566785e-05
3,8,3.6243377462525454e-05
3,9,5.2493195040527695e-05
3,10,-0.00012897112912167477
3,11,-1.351275759121745e-05
3,12,1.9226879581570517e-05
3,13,4.818103891006644e-05
3,14,-1.2499664576825923e-05
3,15,-9.953946652684584e-05
3,16,9.745233206456209e-05
3,17,1.470800237601593e-05
3,18,-8.624938808148226e-06
3,19,-7.679373030888934e-05
3,20,0.0001261769301115127
4,1,5.1485807134115836e-05
4,2,-0.00014981686631620398
4,3,-9.270114589140171e-05
4,4,0.00024117131862905645
4,5,-5.5460700172806806e-05
4,6,3.162914702478496e-05
4,7,0.00011654338777989393
4,8,1.0611716005760958e-05
4,9,9.7360355749335e-05
4,10,2.3590019641139714e-05
4,11,2.156540845648486e-05
4,12,0.00010061443176933988
4,13,0.00011686070755651064
4,14,-6.804547752425235e-05
4,15,-8.057293571082554e-05
4,16,1.6961882577472476e-05
4,17,-2.3072523824749268e-05
4,18,5.12924768295348e-06
4,19,-4.515443915952788e-05
4,20,-6.756036489650233e-05
5,1,-7.436312552374166e-05
5,2,-4.390667213524302e-05
5,3,0.00012207163156588975
5,4,-5.5460700172806806e-05
5,5,0.0002316029689079189
5,6,4.172435285010304e-05
5,7,-7.438502920579623e-05
5,8,4.795011687546655e-05
5,9,-2.7340649178670326e-05
5,10,-2.562116013596802e-05
5,11,-7.351422054821936e-05
5,12,4.2579285453099126e-05
5,13,9.440025714942344e-05
5,14,-6.594556328611074e-05
5,15,-1.1945222601138959e-06
5,16,0.0001204210898895801
5,17,3.188476543814359e-05
5,18,-5.229133922538688e-05
5,19,-4.36046243700197e-05
5,20,3.2392538687727947e-05
6,1,0.0001943452443195514
6,2,9.734646415835072e-05
6,3,3.355557850984603e-05
6,4,3.162914702478496e-05
6,5,4.172435285010304e-05
6,6,0.00039803030648385957
6,7,-3.529515826877735e-05
6,8,1.4849423669252433e-05
6,9,-6.8976595888586275e-06
6,10,-2.6437843167401622e-05
6,11,0.0001680662319869769
6,12,2.9468643617186605e-05
6,13,6.480988417857902e-05
6,14,-6.010567781470078e-06
6,15,-0.00022396121813520356
6,16,1.343265439324545e-05
6,17,-0.00011759800887641776
6,18,3.656764939080869e-05
6,19,-0.00015847038271035762
6,20,-9.617472767505523e-05
7,1,4.729536499641197e-05
7,2,-0.0001272355255559236
7,3,-9.021888827566785e-05
7,4,0.00011654338777989393
7,5,-7.438502920579623e-05
7,6,-3.529515826877735e-05
7,7,0.00020763304468341271
7,8,9.492247569493016e-06
7,9,0.00011271512066552997
7,10,5.849209741079119e-05
7,11,3.393868315771854e-05
7,12,-8.057733536122995e-06
7,13,4.957874239441447e-05
7,14,5.502017087652806e-06
7,15,-2.7404470455042592e-05
7,16,-1.541551977697801e-05
7,17,4.315026711553348e-05
7,18,-3.009831268333616e-05
7,19,-8.015357393469386e-06
7,20,1.1185901456831574e-05
8,1,-1.2268963651751229e-05
8,2,-5.904920754372042e-05
8,3,3.6243377462525454e-05
8,4,1.0611716005760958e-05
8,5,4.795011687546655e-05
8,6,1.4849423669252433e-05
8,7,9.492247569493016e-06
8,8,0.00010847769465785841
8,9,3.617349105606552e-05
8,10,5.347502854126341e-06
8,11,-1.2031795471610403e-05
8,12,6.920259894940756e-06
8,13,6.10662523012084e-05
8,14,-2.0919043590170482e-05
8,15,-2.2192096371134512e-05
8,16,5.229045308165584e-05
8,17,3.4131199032395216e-05
8,18,-3.830898976352629e-05
8,19,-3.1242659414589965e-05
8,20,3.15152492198991e-05
9,1,1.7976576170929115e-05
9,2,-0.00011084046229042308
9,3,5.2493195040527695e-05
9,4,9.7360355749335e-05
9,5,-2.7340649178670326e-05
9,6,-6.8976595888586275e-06
9,7,0.00011271512066552997
9,8,3.617349105606552e-05
9,9,0.00030484579888375785
9,10,-4.639097683908046e-05
9,11,6.664677134837454e-05
9,12,7.878244209969092e-06
9,13,0.00010094181301994365
9,14,8.477169873065715e-06
9,15,-0.00016000421785410059
9,16,4.2971311899831855e-05
9,17,5.364181094376304e-05
9,18,-2.906656954553632e-05
9,19,-8.891488517158257e-05
9,20,0.00012297570719418244
10,1,6.023200449905959e-05
10,2,-7.231482540992591e-05
10,3,-0.00012897112912167477
10,4,2.3590019641139714e-05
10,5,-2.562116013596802e-05
10,6,-2.6437843167401622e-05
10,7,5.849209741079119e-05
10,8,5.347502854126341e-06
10,9,-4.639097683908046e-05
10,10,0.00024062534130172314
10,11,-2.86488701660605e-07
10,12,-0.00010463188801289809
10,13,-2.8375680527970715e-05
10,14,4.0586234009443476e-05
10,15,0.00012344960055148905
10,16,-3.758273504868645e-05
10,17,7.381536233819707e-05
10,18,-7.46156742939882e-05
10,19,5.8364296029502275e-05
10,20,-3.213582441635108e-05
11,1,0.00019122127356757635
11,2,0.00012289211427035998
11,3,-1.351275759121745e-05
11,4,2.156540845648486e-05
11,5,-7.351422054821936e-05
11,6,0.0001680662319869769
11,7,3.393868315771854e-05
11,8,-1.2031795471610403e-05
11,9,6.664677134837454e-05
11,10,-2.86488701660605e-07
11,11,0.00028288466939755855
