t,regime_id,avg_corr,vol_multiplier
1,1,0.1667128477235835,1.1602836615139362
2,1,0.31690026333952326,1.0576624652680142
3,3,0.1586814962435296,0.7958279158407152
4,2,0.6220065412884527,1.5140053791094552
5,1,0.26427950927370475,1.2464948715951496
6,1,0.18335301495093992,1.0439933417041145
7,3,0.10298692208619371,0.893179239100027
8,2,0.5340063561949253,2.050804294871798
9,1,0.26145825646358906,0.948161494554644
10,1,0.21771939424460315,1.0530003336324032
11,1,0.30903940390339496,1.1099617513422326
12,3,0.11208171696540437,0.8321995247877684
13,1,0.2502143846714742,1.0049725267573242
14,1,0.23706059185806239,1.0197031126202902
15,3,0.19477170027697366,0.8747246763683268
16,3,0.09272420999195348,0.9826084082804555
17,2,0.5632778443286873,1.7018691772977566
18,3,0.08816929964832569,0.8353201897886195
19,1,0.14038502469019404,1.0614564358389162
20,1,0.2519077423164,1.0356341184416964
21,1,0.2320153759290837,1.0726603621838329
22,1,0.2048153194500594,1.1364921885552324
23,1,0.27888406313083136,0.7238875789621274
24,1,0.3122977991343321,0.8511945137715567
25,3,0.10351091757771688,0.7969000802822598
26,3,0.148366164394157,0.9253086298814933
27,3,0.1116188069420177,0.8821201463231882
28,3,0.05900966514276035,0.906750232535479
29,1,0.23373756131667245,1.0857557489402627
30,1,0.21215653831616055,1.0130483776005228
31,3,0.1514876615952384,0.7922143957518681
32,1,0.21323606087501687,0.9611246498509403
33,3,0.11019987322956362,0.8195275119103353
34,1,0.27541651554282337,1.1326251312683575
35,1,0.23947715212275103,1.0137430283917297
36,3,0.11437572972414436,0.7342333825397293
37,1,0.31076545608359724,0.8779649008255166
38,2,0.4551680571042006,1.5655415827686319
39,2,0.5333209550652727,1.8719880642147788
40,2,0.5486428942489369,2.0578687480695086
41,2,0.5628206688819906,1.3558818872405924
42,2,0.5811216506072003,1.9238717348592813
43,1,0.2639364552564691,1.106834382552106
44,1,0.25190300896303136,0.9222440519636685
45,1,0.26729690732485156,0.9644696129190664
46,1,0.1834401480019594,1.032565396278132
47,1,0.2371757174500426,0.935270324066307
48,2,0.5920135229069379,1.5692872196553167
49,3,0.06138615055097725,1.0093996008720054
50,1,0.2593756867703875,0.8635848685381358
51,2,0.5435601734034399,1.6759065219293845
52,1,0.3085888200701767,1.1208237731994943
53,3,0.03408466478849126,0.8220205420255314
54,1,0.17676115763879996,1.0004850684934807
55,3,0.019375581121757898,1.0275914615741186
56,2,0.47686201834564707,1.4691400739614902
57,3,0.09211137285552752,0.6977111610536718
58,2,0.5855379958739461,1.621677113817976
59,2,0.6415518230444005,1.2729801497637543
60,1,0.20676345656732606,1.1494889787827371
61,2,0.639139420999933,1.6097712421072832
62,3,0.14504533808520492,0.8342990147706723
63,2,0.4873691898748258,1.509710557793917
64,1,0.22769398226470947,0.9825744802543652
65,2,0.7005575174326717,1.4673947634141946
66,1,0.29052320086895295,1.09554194429519
67,1,0.2555668407917418,0.9847564066029869
68,1,0.18311900492205435,1.1799235404918555
69,1,0.16053416083749583,1.1748809761344896
70,3,0.11832511500107826,0.7971525517640619
71,2,0.5472903811596216,1.535244380533576
72,1,0.23794377788221394,1.0484531251043372
73,2,0.5834173567764954,1.6993296599716379
74,1,0.20460359127423475,0.7736350228217658
75,3,0.07380942831936917,0.9848857331714787
76,1,0.2581880738671545,0.948325335683064
77,1,0.20704830548632547,0.9568904030375858
78,1,0.1998035902831745,0.9633492288640945
79,2,0.6033556610616184,1.970973201924858
80,1,0.23734715112684926,0.9907889514762698
81,1,0.28036300795715996,1.0104185374571422
82,1,0.15106926296807388,1.0404991668108903
83,1,0.22006803895982907,0.9575287144165263
84,1,0.24799569919691108,0.9491288304940212
85,2,0.4611928134646284,1.4495871473562305
86,1,0.28080828989730017,1.1368512156399206
87,2,0.47545514815166995,1.6726140796207147
88,2,0.5155788245856506,1.626613472276517
89,2,0.5371404517652024,1.3521816261484763
90,2,0.5655735257462047,1.5195069670161638
