profile_id,depolarizing_p,readout_error_p,two_qubit_error_p,shots,seed
1,0.006935638549368646,0.028767305152831848,0.004398276433446027,4096,245086
2,0.010822422315017469,0.01879614030713425,0.002513780421691839,2048,818231
3,0.00888858907841608,0.046002973244218794,0.026182609256727156,1024,113993
4,0.009117419893375514,0.019195856552924835,0.005828500873699346,1024,310639
5,0.012647013379687629,0.005304294683479942,0.002158332471856655,512,365621
6,0.0018547644103945448,0.04738477106085236,0.017035210965272624,256,586739
7,0.01965294759654942,0.04264819823719419,0.0064224487733977745,4096,915153
8,0.008951005526584897,0.03965023677799809,0.023566197029807542,256,853587
9,0.0035718700176938234,0.013520182000018765,0.0031645637041707196,512,13890
10,0.0012175836950401786,0.04044801374502823,0.007600116528726635,2048,448976
11,0.01518435875482273,0.001959527730552259,0.029231462884819776,512,982192
12,0.005589974895245422,0.03152449138431895,0.014914989584050665,512,691941
13,0.012437050113615001,0.036304846922438606,0.017262420648146207,2048,532225
14,0.0032172221095883224,0.0491566013791306,0.021859491905121417,512,837415
15,0.016093543775790087,0.04127933843190502,0.00916901475490967,256,933357
16,0.013961960278425799,0.02379013012949291,0.010702240160546325,1024,826057
17,0.011531772890190506,0.0021944184406832343,0.017422580835329715,2048,745408
18,0.014894555745535568,0.03683317282764269,0.01851541334953828,4096,173594
19,0.002756274338138913,0.0342724033686066,0.006024740810006335,4096,878811
20,0.005670231419252152,0.010473387051571335,0.014335664074188216,4096,253328
21,0.018157497132836813,0.03496580676579081,0.007897915214433605,1024,746237
22,0.013192467591960052,0.027157800385289182,0.017913750682617642,1024,333461
23,0.0018024967149795669,0.024548132692023803,0.020398313864840638,1024,688343
24,0.001087090470226413,0.04765452690709812,0.029713851799220172,256,506489
25,0.01485253209273726,0.008885569947013464,0.02554443260113637,1024,145319
26,0.008858357863631275,0.020259770523828526,0.014714611589993178,512,532892
27,0.006149859444285557,0.023342019957496053,0.011408344180479372,1024,140880
28,0.007586761108061526,0.03833058468062544,0.023312058161902835,512,19552
29,0.01743378419708232,0.031761946680165014,0.019867135280375554,1024,285819
30,0.018470583283741262,0.0235485242642396,0.02285838714872007,512,38574
31,0.011594890239890156,0.001832877393587367,0.014964332562356984,2048,504900
32,0.010097014970076335,0.04362367807949775,0.014397906426852802,512,388861
33,0.009764331115903453,0.005536229165939234,0.017786805450910444,2048,906769
34,0.002057331792171944,0.033413666344054634,0.02422700999038043,4096,967598
35,0.004516852265516624,0.02390003686936778,0.010134814866868413,512,252992
36,0.007284126691051889,0.03901589755196439,0.024504445522702457,2048,785091
37,0.004998424266254305,0.028817615210292677,0.0034736259184615175,256,296189
38,0.007926561607910146,0.03718348163790545,0.009923268015496325,512,104343
39,0.008677060276001547,0.020369435410370795,0.025768098938284256,1024,410017
40,0.0008924583229107364,0.027983200961949964,0.004776588939766121,4096,944970
41,0.0016114645846331066,0.019357044659772664,0.004130896046649367,4096,749255
42,0.017551572019450807,0.04716334273275008,0.0034469150873458997,1024,925661
43,0.013816606753916582,0.02835024704972931,0.023456393397574257,512,288762
44,0.00865965760334665,0.010379438774582757,0.017753172445761533,1024,709442
45,0.019176670423367844,0.023946561816357733,0.019859616079635847,2048,528475
46,0.009977296673228444,0.022928537568557377,0.015410376943379302,256,828695
47,0.017011632925686748,0.03483350270139888,0.0022147720918510886,512,692451
48,0.015916547013525635,0.022114886496736003,0.02638916294698861,256,633218
49,0.004692971372482544,0.03240707633197575,0.014552773810602954,512,612871
50,0.00948911928231673,0.030298477070642788,0.017145544126800208,1024,527553
51,0.004238156860786186,0.016374988405568534,0.022663453856241227,256,244168
52,0.008079295678445494,0.0016503386119469075,0.003167795411854791,4096,266187
53,0.012410770799053877,0.021898501902660177,0.0018253482971559863,4096,158164
54,0.011389265379932859,0.026414192613176887,0.02906701711035507,4096,401319
55,0.01565400662980285,0.028924586787096356,0.019401334534664378,1024,205852
56,0.011082040122840552,0.024839201384567494,0.011297970340086654,512,900685
57,0.01590818173755758,0.01934065415487082,0.02200259760262861,2048,848015
58,0.004919210294380278,0.03043367106926243,0.024957773887928723,2048,24713
59,0.003065218941835517,0.008983113242808306,0.0011689624001550096,512,973405
60,0.015408159018165422,0.00887385060634828,0.0018698967305439736,2048,347717
