pair_id,routing_policy,hops,distance_km,delay_ms,jitter_ms,qae_compute_ms,qaoa_compute_ms,qkd_overhead_ms,end_to_end_ms
1,latency,7,7905.381531112251,24.243170028744235,0.0797071738834115,12.01708734086148,5.9217807212519284,0.004277300453834849,42.26602256519489
2,baseline,9,12470.424240432647,41.56808080144216,0.05100741874608114,8.412983964879205,3.7999516023648168,0.003352380473412929,53.83537616790567
3,latency,15,20903.218606816245,64.10320372756982,0.06147055574144357,4.510668900626737,5.416013568306884,0.0035052047591913457,74.09486195700407
4,risk,14,17067.030542727643,58.5968048633649,0.06176783606026231,8.443629481584901,7.387208315670634,0.0032089048726994273,74.4926194015534
5,risk,8,9964.040644236542,34.20987287854547,0.070246101774629,9.958526810111568,6.348748907516393,0.0036056967082462557,50.591000394656305
6,risk,15,19542.520508261285,67.09598707836375,0.08596357908279519,12.425256694608224,6.751727061663452,0.0027832923108543684,86.36171770602908
7,baseline,4,5107.013367809437,17.02337789269812,0.07443645211565059,6.350117290334618,3.5263658549511643,0.005,26.979297490099558
8,baseline,11,12309.434063187586,41.031446877291955,0.06343261502007781,5.342017639492799,4.756065811029496,0.003902221583928508,51.196865164418256
9,baseline,3,3550.4025145487417,11.834675048495805,0.03684827105726088,14.429328919831198,11.645971693169141,0.0035681640927384697,37.95039209664614
10,latency,7,8621.528752064127,26.439354839663327,0.03904233562207481,8.870613031818593,4.041738532692036,0.004581912716219111,39.39533065251225
11,baseline,4,3957.0074994574793,13.190024998191598,0.06043982553066646,10.179598522348623,4.258102940622416,0.003518345541382225,27.691684632234686
12,latency,8,10063.441734732338,30.861221319845836,0.05858009573862167,5.231046837434945,3.4568299699024414,0.0031999749635220655,39.61087819788537
13,risk,6,6805.845823675428,23.3667373279523,0.0627047600584474,8.470648523335981,5.871457185801868,0.002907583582620811,37.77445538073122
14,latency,3,3563.7319953108804,10.928778118953366,0.052066130512300274,7.8442574873916096,4.476692128434661,0.0022632309695527508,23.304057096261488
15,risk,15,17549.82387801844,60.25439531452998,0.03187073769903582,7.333707169077054,8.998277773783434,0.004043882086800296,76.6222948771763
16,baseline,11,14054.375988716081,46.84791996238694,0.12763673966561512,6.245384269969298,3.93813373352905,0.0040430077757919285,57.1631177133267
17,risk,12,13221.743460447895,45.39465254753777,0.0910669829896998,9.560683985855718,6.524357583962667,0.0032635397023818044,61.574024640048236
18,latency,5,5136.716638511201,15.752597691434351,0.0403628716235228,14.819210421534994,9.301659501604307,0.003063365610159148,39.91689385180734
19,baseline,6,6642.874350321525,22.14291450107175,0.038396434904694854,7.462338514147567,6.177210088255086,0.0031170841598781324,35.82397662253897
20,baseline,5,5373.22525134518,17.910750837817268,0.04683725746733376,6.431302234488572,5.491205803101973,0.0025158358992593793,29.88261196877441
21,latency,11,13763.537417669608,42.2081814141868,0.04508617710434246,5.965181556370187,6.121651838908123,0.0030017529712803967,54.34310273954073
22,baseline,11,13074.114349164694,43.580381163882315,0.10103860976703331,10.091086884213805,4.873901925781623,0.0040759960817192,58.65048457972649
23,latency,6,6592.606567717454,20.217326807666858,0.13406543460974707,10.559973503281688,4.072345262149735,0.003533478544801684,34.98724448625283
24,risk,10,13067.683454467628,44.86571319367219,0.061571252650240146,6.487065231632666,4.418815779926502,0.0031741643172375016,55.83633962219884
25,risk,9,11192.902544601422,38.428965403131556,0.08579723940420751,13.735494095580307,4.620927164991331,0.005,56.8761839031074
26,baseline,3,3381.427003758463,11.271423345861544,0.04708603743478953,11.450227980885913,8.486322993653578,0.003069412013798946,31.25812976984962
27,baseline,12,14790.461347580489,49.3015378252683,0.07608428612437478,8.767996435867564,3.7565963835797693,0.002864165305115099,61.90507909614512
28,latency,11,12275.44002353682,37.64468273884625,0.04288473032323874,9.462632960127792,4.498918501382921,0.0031402081704638616,51.65225913885067
29,latency,10,11955.43336965524,36.66332900027607,0.07324859077146426,10.771320526445516,4.06247369861451,0.0026395218262108104,51.57301133793377
30,risk,14,15406.863266317932,52.89689721435823,0.07256479859573887,11.721777707795516,6.0542394094837695,0.003682485539731954,70.74916161577299
31,latency,14,16538.033395288716,50.71663574555206,0.04243667443126605,7.844917214270558,5.626742719306422,0.003105998041913052,64.23383835160223
32,risk,4,4879.442114103947,16.75275125842355,0.08847938782460274,5.930543212245043,4.362157434652961,0.00305394242856873,27.136985235574727
33,latency,5,5436.876782758618,16.673088800459762,0.0504121713227057,9.819928559758422,3.6868528579482094,0.0023917692678244343,30.23267415875692
